"risk","sp","warm","photo","chill1","chill2"
15.9374396417541,1,0,0,0,0
16.0196451696299,1,0,0,0,0
16.098533214481,1,0,0,0,0
16.1413299663804,1,0,0,0,0
15.9472184608998,1,0,0,0,0
15.9122326161621,1,0,0,0,0
16.0359044482428,1,0,0,0,0
15.7751041255483,1,0,0,0,0
15.8916570131486,1,0,0,0,0
15.9722121930676,1,0,0,0,0
16.034988652879,1,0,0,0,0
15.9983093785274,1,0,0,0,0
5.89867044675047,1,1,0,0,0
5.88175993957079,1,1,0,0,0
5.65766047210006,1,1,0,0,0
5.87270575174248,1,1,0,0,0
5.72226724176968,1,1,0,0,0
5.79601647709609,1,1,0,0,0
5.73760053023692,1,1,0,0,0
5.67302284345226,1,1,0,0,0
5.76831955761423,1,1,0,0,0
5.78146577002431,1,1,0,0,0
5.81654362792708,1,1,0,0,0
5.82572645859492,1,1,0,0,0
7.28602801194592,1,0,1,0,0
7.35391244693241,1,0,1,0,0
7.33940881315331,1,0,1,0,0
7.32400185989113,1,0,1,0,0
7.34979715245957,1,0,1,0,0
7.20275784342597,1,0,1,0,0
7.22507080008494,1,0,1,0,0
7.1244355533632,1,0,1,0,0
7.19598916099104,1,0,1,0,0
7.3304172657704,1,0,1,0,0
7.24339807297964,1,0,1,0,0
7.26227016022637,1,0,1,0,0
1.26778436033144,1,1,1,0,0
1.28387419445494,1,1,1,0,0
1.10374509685392,1,1,1,0,0
1.23637761362011,1,1,1,0,0
1.24473176836639,1,1,1,0,0
1.031695010671,1,1,1,0,0
1.21368411624994,1,1,1,0,0
1.22154805623293,1,1,1,0,0
1.14704766136839,1,1,1,0,0
1.27918555690408,1,1,1,0,0
1.08796210147464,1,1,1,0,0
1.08564736836711,1,1,1,0,0
11.0726642058699,1,0,0,1,0
10.9746826582061,1,0,0,1,0
11.0376883532648,1,0,0,1,0
11.236478244165,1,0,0,1,0
11.0908323652332,1,0,0,1,0
10.8697247976302,1,0,0,1,0
11.0629080684178,1,0,0,1,0
11.0485692356721,1,0,0,1,0
10.9672848596845,1,0,0,1,0
11.1686472652564,1,0,0,1,0
10.8715839842003,1,0,0,1,0
11.0322312523564,1,0,0,1,0
4.15193106934033,1,1,0,1,0
4.21308552165418,1,1,0,1,0
4.18863799069862,1,1,0,1,0
4.08844055013496,1,1,0,1,0
4.08436173428363,1,1,0,1,0
4.12841068559042,1,1,0,1,0
4.02814662841301,1,1,0,1,0
4.06551638847011,1,1,0,1,0
4.29493768494518,1,1,0,1,0
4.24822235811177,1,1,0,1,0
4.1103179995069,1,1,0,1,0
4.16796824351759,1,1,0,1,0
4.74988450860369,1,0,1,1,0
4.69235342116329,1,0,1,1,0
4.82579307777893,1,0,1,1,0
4.53000600860558,1,0,1,1,0
4.70945672755201,1,0,1,1,0
4.61998024479658,1,0,1,1,0
4.58440963219954,1,0,1,1,0
4.57928812417284,1,0,1,1,0
4.63102199592924,1,0,1,1,0
4.58490364192338,1,0,1,1,0
4.63896715591957,1,0,1,1,0
4.68072334870081,1,0,1,1,0
1.76965568354263,1,1,1,1,0
2.01156893357671,1,1,1,1,0
1.93784306680778,1,1,1,1,0
1.98183512698604,1,1,1,1,0
1.8570990183644,1,1,1,1,0
1.76429703956294,1,1,1,1,0
1.88064616074095,1,1,1,1,0
1.77712576606532,1,1,1,1,0
1.83580921300135,1,1,1,1,0
1.84482931863712,1,1,1,1,0
1.96511747078015,1,1,1,1,0
1.82891129685381,1,1,1,1,0
13.1768842221157,1,0,0,0,1
13.0216782573992,1,0,0,0,1
12.8601662436079,1,0,0,0,1
13.0630061068533,1,0,0,0,1
12.9960487003401,1,0,0,0,1
12.9941970810251,1,0,0,0,1
