"risk","ind","sp","tx"
8.27680073567447,1,"1",0
7.89252947406933,1,"1",0
8.0164381297735,1,"1",0
8.13972398772139,1,"1",0
7.95576953698484,1,"1",0
8.14576953877661,1,"1",0
8.01416103040778,1,"1",0
7.94736151226971,1,"1",0
8.16125513627284,1,"1",0
8.05592327541473,1,"1",0
8.05402752004948,1,"1",0
8.07105848954691,1,"1",0
7.83299575699161,1,"1",0
7.94557187720391,1,"1",0
7.96867062599429,1,"1",0
7.7106045858141,1,"1",0
7.96912926931165,1,"1",0
7.77081836672809,1,"1",0
7.97390074056098,1,"1",0
8.20535027308826,1,"1",0
7.89612542051095,1,"1",0
7.60665657677429,1,"1",0
8.88590001404,1,"2",0
8.45045831799074,1,"2",0
8.07712158124515,1,"2",0
8.03475143282802,1,"2",0
8.47807466994624,1,"2",0
8.46070715707544,1,"2",0
8.70465117282878,1,"2",0
8.78907583560323,1,"2",0
8.78507187108157,1,"2",0
8.46044893173131,1,"2",0
8.59253975873659,1,"2",0
8.61871336375656,1,"2",0
8.34961592917874,1,"2",0
8.84909980224883,1,"2",0
8.46969129464323,1,"2",0
8.17945855674366,1,"2",0
8.4906298873411,1,"2",0
8.64450756547146,1,"2",0
8.5441182459563,1,"2",0
8.60660927143931,1,"2",0
8.39547356688344,1,"2",0
8.507835747836,1,"2",0
9.61340155808752,1,"1",1
9.72689216982122,1,"1",1
9.43947449920282,1,"1",1
9.20580546406905,1,"1",1
9.35908823815594,1,"1",1
9.29519950403903,1,"1",1
9.13353789064177,1,"1",1
9.6493607125268,1,"1",1
9.43384991921285,1,"1",1
9.73248144628688,1,"1",1
9.55984843909263,1,"1",1
9.79941048991779,1,"1",1
9.40965941435522,1,"1",1
9.81317687414711,1,"1",1
9.51426564659535,1,"1",1
9.75343647217549,1,"1",1
9.35819327515867,1,"1",1
9.46729446616419,1,"1",1
9.1908035016597,1,"1",1
9.62449490110496,1,"1",1
9.83915512021023,1,"1",1
9.57387654204959,1,"1",1
10.0252088350282,1,"2",1
9.90908910920611,1,"2",1
9.7509729326436,1,"2",1
9.7865640756015,1,"2",1
9.93107405857626,1,"2",1
