"mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
113.396987151473,1.16169783694529,9.79200104839117,94.2266413292265,106.76498112688,113.474209126788,120.355488363493,132.928057404857,71.0487662988702,1.0013566579012
99.2804411501939,1.21927856128298,9.54619365912359,79.9830906996353,92.9899982330697,99.4911850805261,105.336776410371,119.107479732857,61.299171624874,0.999529435310208
88.5282071234785,1.26556969329436,9.92125592238225,69.3199393670172,82.0753245100593,88.4730149450178,94.8389609200801,108.306557765348,61.4555589106839,0.998460727217402
91.7961435985865,1.21243689514642,9.39798646717309,73.2169245712014,85.7828301243872,91.4560390662893,97.7139943687212,111.256176976472,60.0829631883669,1.00021864260377
94.526891377061,1.20757972762358,9.30174959440882,75.9613499028449,88.6030963791365,94.460483331113,100.291273861205,113.665186203822,59.3331848461546,1.0003120289711
87.7011450228944,1.22924024008208,10.050008184883,68.062775750622,81.0900070242617,87.8080554995489,93.8802149676756,107.384552663941,66.8435171482186,0.999338884783342
93.3055352118368,1.1868213932087,9.37088324149361,75.6391187661963,86.721602366724,92.8504791532295,99.6833079177586,112.232085848759,62.3433766884455,0.999249467475741
99.5726617995711,1.18636283456506,9.43487225128292,80.8137503294142,93.6329366064671,99.6687311909353,105.837476631239,117.633768822819,63.2465706685906,0.998592960862553
86.0425148641386,1.2802315015425,9.74748182439793,66.6361214906739,79.7167644142806,86.0218529262655,92.0158239294336,105.465781114067,57.9706072269101,0.99964917084665
-4.09757554126825,0.0615180671725177,0.540121591131967,-5.1495075372727,-4.46875730065713,-4.07834390257474,-3.72849077536421,-3.06714540002921,77.0863908705388,1.00293337174406
-3.87422956890199,0.0650435292547402,0.51876820276484,-4.89799013113866,-4.1877916769197,-3.89295671091757,-3.54083940526917,-2.87267154491364,63.6119196069467,0.999626503168366
-3.72591563427436,0.0687104695956121,0.530219097010262,-4.8099343298699,-4.06254365210532,-3.72336395383194,-3.37687537870123,-2.70364401195121,59.5476871623244,0.999225754783739
-3.80363065208494,0.0655004682704396,0.514092388386581,-4.87621807062705,-4.12370456984525,-3.79357954599323,-3.47542699035136,-2.82932096790738,61.6018192219041,0.999484184302091
-3.820600287824,0.0649235028290377,0.511959100892559,-4.85844142642074,-4.13763669813301,-3.79919776771614,-3.4985878915777,-2.79040359736088,62.1822809520388,1.00011779049889
-3.89352103351479,0.0652828228090331,0.528293649229371,-4.99445911805182,-4.20777156138634,-3.89041765327115,-3.55838787819219,-2.88689964356327,65.4866734619987,1.00062279934592
-3.87941379557353,0.0642061293520123,0.514985731579887,-4.94675231404352,-4.21231431791132,-3.8572413967415,-3.53917096247092,-2.92442153532025,64.3335347716036,0.99988289808507
-3.93955683325426,0.063406803928046,0.511405337208207,-4.93360111769025,-4.28317512528152,-3.94019346754645,-3.61097570352151,-2.95669765610101,65.0517204165242,0.999871944997684
-3.69852201755494,0.0674439665600823,0.528107094394375,-4.79030399804713,-4.01606131806892,-3.72000906154858,-3.34125204162251,-2.59374443434375,61.3137381167192,0.999320784454173
-5.09010482839847,0.103208986675195,0.844585890474919,-6.77802993769391,-5.64140118341577,-5.07551678567626,-4.5173571836861,-3.45699987622451,66.9657312521206,0.99854492252395
-5.09125456869527,0.10251104571267,0.835963270586765,-6.73952197974037,-5.6490119670532,-5.10389915699469,-4.53970303708721,-3.52870560122803,66.5017486751949,0.998943578913056
-5.19043076151467,0.107159634514705,0.840007590941289,-6.95302651340767,-5.73076090376168,-5.17022447840778,-4.6798214005354,-3.58103635832889,61.4474654370468,0.999491394611025
-5.17878452212516,0.10493489755753,0.83089581670278,-6.82935268303935,-5.71504348938937,-5.17169427534897,-4.69179039564926,-3.59305279721993,62.6979381543042,1.00046384388177
-5.20767863702201,0.105270468881663,0.824385044478458,-6.84122351334069,-5.74166001103702,-5.19378410552833,-4.67337085474099,-3.61007722486274,61.3263467536668,1.00006575627643
-5.01678724374476,0.105674978952465,0.859777053328831,-6.74006267170946,-5.60112190063363,-4.99932352704666,-4.41716453440439,-3.37122828354582,66.1953312867262,0.998534681892009
-5.18698667654222,0.101299912880671,0.832972805587102,-6.83083337700893,-5.72360626383031,-5.1998047132057,-4.65926795014327,-3.61783883573313,67.6150700594688,0.999678710108426
-5.18073638143953,0.103499860078599,0.834876290452109,-6.87165336184385,-5.72479892219701,-5.17831032228418,-4.65145386210115,-3.59495321633717,65.0675913050894,0.998869995631765
-5.15802999149576,0.106664664421939,0.829778183596159,-6.80583594560782,-5.70245998005235,-5.14994880015297,-4.65656048590674,-3.61400768488842,60.5177651621887,1.00008083239907
-8.61997585692011,0.503860536807304,4.89127696759676,-18.1013366339496,-12.0042904033963,-8.45276678003019,-5.23024637509378,0.497617736079635,94.237513962546,1.00011713260294
-8.49129014028773,0.455755326576056,4.81962332919674,-17.9569625648163,-11.7382493980756,-8.37442247043887,-5.17983415677956,0.884704370483736,111.8311239006,0.998885012925219
-9.13086334979313,0.456923578136384,4.89934691268149,-18.985712200924,-12.544581323102,-8.85731114505781,-5.64791342412743,-0.00905383622788073,114.971248093651,0.999762563277012
-7.698898486687,0.464116406703911,4.8710826878856,-17.5216585516009,-11.0142209304206,-7.64630979644504,-4.34438391605044,1.84402440402094,110.15321098659,1.0005185223759
-8.64790421286639,0.466547524442702,4.87691051053386,-17.9012265654166,-12.1938300652692,-8.57725064275613,-5.22576239911416,0.644661282863837,109.269207771535,0.999743533341306
-9.17175064514979,0.474587088739896,4.84305942319689,-18.8602576797205,-12.6390792036471,-9.21588511684232,-5.76655984737922,-0.00404489736079706,104.137646307002,0.999844571996412
