"doy","phase","risk"
75,NA,3
76,NA,3
77,NA,3
78,NA,3
79,NA,3
80,NA,3
81,NA,3
82,NA,3
83,NA,3
84,NA,3
85,NA,3
86,NA,3
87,NA,3
88,NA,3
89,NA,3
90,NA,3
91,NA,3
92,NA,3
93,NA,3
94,NA,3
95,NA,3
96,NA,3
97,NA,3
98,NA,3
99,NA,3
100,NA,3
101,NA,3
102,NA,3
103,NA,3
104,NA,3
105,NA,3
106,NA,3
107,NA,3
108,NA,3
109,NA,3
110,NA,3
111,NA,3
112,NA,3
113,NA,3
114,NA,3
115,NA,3
116,NA,3
117,NA,3
118,NA,3
119,NA,3
120,NA,3
121,NA,3
122,"BB",3
123,NA,6.5
124,NA,10
125,NA,10
126,NA,10
127,NA,10
128,NA,10
129,NA,10
130,NA,10
131,NA,10
132,NA,10
133,NA,10
134,NA,10
135,NA,10
136,NA,10
137,NA,10
138,NA,10
139,NA,10
140,NA,10
141,NA,7
142,"LO",4
143,NA,4
144,NA,4
145,NA,4
146,NA,4
147,NA,4
148,NA,4
149,NA,4
150,NA,4
